year,caraib,dlem,jules,lpjguess,lpjml,orchidee,vegas,visit
1971,5.76E+16,4.75E+16,4.32E+16,4.34E+16,4.23E+16,3.64E+16,5.12E+16,5.24E+16
1972,5.84E+16,4.76E+16,4.26E+16,4.29E+16,4.17E+16,3.67E+16,5.15E+16,5.26E+16
1973,5.96E+16,4.85E+16,4.43E+16,4.38E+16,4.25E+16,3.72E+16,5.27E+16,5.34E+16
1974,5.87E+16,4.83E+16,4.52E+16,4.34E+16,4.24E+16,3.73E+16,5.29E+16,5.29E+16
1975,5.94E+16,4.86E+16,4.60E+16,4.38E+16,4.30E+16,3.74E+16,5.28E+16,5.37E+16
1976,5.96E+16,4.80E+16,4.38E+16,4.38E+16,4.22E+16,3.69E+16,5.25E+16,5.31E+16
1977,6.07E+16,4.89E+16,4.46E+16,4.50E+16,4.27E+16,3.76E+16,5.31E+16,5.46E+16
1978,5.99E+16,4.85E+16,4.50E+16,4.44E+16,4.22E+16,3.78E+16,5.29E+16,5.41E+16
1979,6.01E+16,4.86E+16,4.54E+16,4.47E+16,4.25E+16,3.79E+16,5.30E+16,5.45E+16
1980,6.01E+16,4.87E+16,4.48E+16,4.51E+16,4.27E+16,3.77E+16,5.27E+16,5.43E+16
1981,6.05E+16,4.91E+16,4.51E+16,4.52E+16,4.31E+16,3.79E+16,5.33E+16,5.45E+16
1982,5.99E+16,4.89E+16,4.41E+16,4.43E+16,4.24E+16,3.75E+16,5.23E+16,5.36E+16
1983,6.23E+16,4.92E+16,4.40E+16,4.50E+16,4.29E+16,3.74E+16,5.25E+16,5.41E+16
1984,6.17E+16,4.92E+16,4.54E+16,4.45E+16,4.28E+16,3.77E+16,5.24E+16,5.39E+16
1985,6.09E+16,4.86E+16,4.48E+16,4.42E+16,4.23E+16,3.78E+16,5.24E+16,5.35E+16
1986,6.08E+16,4.90E+16,4.51E+16,4.44E+16,4.26E+16,3.83E+16,5.22E+16,5.39E+16
1987,6.14E+16,4.92E+16,4.52E+16,4.51E+16,4.27E+16,3.83E+16,5.19E+16,5.41E+16
1988,6.17E+16,4.99E+16,4.60E+16,4.58E+16,4.33E+16,3.82E+16,5.32E+16,5.46E+16
1989,6.18E+16,4.97E+16,4.66E+16,4.50E+16,4.32E+16,3.85E+16,5.28E+16,5.43E+16
1990,6.30E+16,5.04E+16,4.68E+16,4.55E+16,4.35E+16,3.93E+16,5.31E+16,5.50E+16
1991,6.20E+16,5.02E+16,4.58E+16,4.61E+16,4.33E+16,3.87E+16,5.28E+16,5.47E+16
1992,6.22E+16,4.91E+16,4.35E+16,4.48E+16,4.23E+16,3.79E+16,5.21E+16,5.34E+16
1993,6.28E+16,4.96E+16,4.59E+16,4.52E+16,4.25E+16,3.83E+16,5.26E+16,5.41E+16
1994,6.28E+16,5.00E+16,4.57E+16,4.60E+16,4.30E+16,3.87E+16,5.21E+16,5.46E+16
1995,6.37E+16,5.04E+16,4.62E+16,4.63E+16,4.32E+16,3.86E+16,5.29E+16,5.49E+16
1996,6.32E+16,4.99E+16,4.64E+16,4.49E+16,4.24E+16,3.90E+16,5.28E+16,5.45E+16
1997,6.41E+16,5.06E+16,4.57E+16,4.61E+16,4.30E+16,3.90E+16,5.32E+16,5.52E+16
1998,6.55E+16,5.13E+16,4.67E+16,4.69E+16,4.36E+16,3.98E+16,5.43E+16,5.61E+16
1999,6.35E+16,5.07E+16,4.69E+16,4.63E+16,4.36E+16,3.90E+16,5.31E+16,5.51E+16
2000,6.47E+16,5.15E+16,4.78E+16,4.67E+16,4.41E+16,3.99E+16,5.38E+16,5.61E+16
2001,6.41E+16,5.15E+16,4.76E+16,4.70E+16,4.41E+16,3.99E+16,5.35E+16,5.66E+16
2002,6.35E+16,5.10E+16,4.60E+16,4.66E+16,4.39E+16,3.94E+16,5.27E+16,5.59E+16
2003,6.43E+16,5.11E+16,4.67E+16,4.69E+16,4.37E+16,3.95E+16,5.28E+16,5.60E+16
2004,6.49E+16,5.15E+16,4.68E+16,4.63E+16,4.36E+16,3.97E+16,5.35E+16,5.58E+16
2005,6.51E+16,5.19E+16,4.67E+16,4.70E+16,4.41E+16,3.98E+16,5.35E+16,5.66E+16
2006,6.54E+16,5.19E+16,4.74E+16,4.69E+16,4.35E+16,4.01E+16,5.37E+16,5.65E+16
2007,6.47E+16,5.22E+16,4.81E+16,4.70E+16,4.38E+16,4.03E+16,5.38E+16,5.68E+16
2008,6.50E+16,5.20E+16,4.91E+16,4.67E+16,4.35E+16,4.05E+16,5.33E+16,5.71E+16
2009,6.54E+16,5.18E+16,4.89E+16,4.69E+16,4.29E+16,4.08E+16,5.28E+16,5.68E+16
2010,6.66E+16,5.23E+16,4.96E+16,4.75E+16,4.33E+16,4.12E+16,5.39E+16,5.71E+16